CustomerID,Recency,Frequency,Monetary,Recency_R,Frequency_F,Monetary_M
12346.0,1504860.0,1,77183.6,1,1,5
12747.0,29428440.0,9,3489.740000000002,5,5,5
12748.0,29593200.0,175,29491.600000000362,5,5,5
12749.0,29325360.0,5,4090.880000000001,5,4,5
12820.0,29344320.0,4,942.3399999999999,5,4,4
12821.0,11116260.0,1,92.72,1,1,1
12822.0,23537040.0,2,948.8799999999999,2,2,4
12823.0,23182500.0,5,1759.5,2,4,4
12824.0,24497340.0,1,397.11999999999995,3,1,2
12826.0,29413500.0,6,1319.7199999999993,5,5,4
12827.0,29161020.0,3,430.15,5,3,2
12828.0,29407500.0,6,1018.7100000000003,5,5,4
12829.0,558780.0,1,207.25,1,1,1
12830.0,26394840.0,6,6814.640000000001,3,5,5
12831.0,6958920.0,1,215.05,1,1,1
12832.0,26832600.0,2,383.03000000000003,3,2,2
12833.0,17070360.0,1,417.37999999999994,2,1,2
12834.0,5219340.0,1,312.38,1,1,2
12836.0,24505800.0,4,2612.8599999999988,3,4,5
12837.0,14659620.0,1,134.1,1,1,1
12838.0,26742000.0,1,292.34000000000003,3,1,2
12839.0,29421180.0,12,4853.970000000004,5,5,5
12840.0,17227740.0,4,2726.769999999999,2,4,5
12841.0,29243580.0,23,3516.359999999998,5,5,5
12842.0,23556780.0,2,1118.99,2,2,4
12843.0,23976540.0,8,1702.26,3,5,4
12844.0,27091860.0,2,325.9599999999999,4,2,2
12845.0,6528840.0,4,354.09000000000003,1,4,2
12847.0,27695760.0,1,871.5399999999998,4,1,4
12849.0,26919660.0,2,1050.8899999999999,4,2,4
12851.0,21300060.0,1,135.17999999999995,2,1,1
12852.0,4178820.0,1,311.54999999999995,1,1,2
12853.0,18012540.0,6,1957.1,2,5,5
12854.0,22853700.0,3,1324.5000000000007,2,3,4
12856.0,28983120.0,6,2179.9300000000007,5,5,5
12857.0,11442000.0,2,1106.4000000000003,1,2,4
12863.0,25107300.0,1,521.2,3,1,3
12864.0,17672580.0,1,147.12,2,1,1
12867.0,27358200.0,6,3674.0299999999957,4,5,5
12868.0,13603320.0,5,1403.7600000000004,1,4,4
12871.0,22345620.0,2,380.64000000000004,2,2,2
12872.0,1421520.0,1,221.44000000000003,1,1,1
12873.0,5237880.0,1,374.0,1,1,2
12875.0,17249400.0,1,49.470000000000006,2,1,1
12877.0,29327400.0,11,1385.71,5,5,4
12878.0,9205620.0,2,854.9899999999999,1,2,3
12879.0,25791840.0,3,573.22,3,3,3
12881.0,5831040.0,1,298.0,1,1,2
12882.0,28829880.0,2,1463.0399999999995,5,2,4
12883.0,27509520.0,4,703.4700000000001,4,4,3
12884.0,21993000.0,1,309.05000000000007,2,1,2
12885.0,24154800.0,3,1175.2199999999996,3,3,4
12886.0,23796540.0,2,1378.4,2,2,4
12888.0,11116920.0,2,354.12,1,2,2
12890.0,27537960.0,1,380.46999999999997,4,1,2
12891.0,13609860.0,3,331.0,1,3,2
12893.0,27002040.0,1,188.14,4,1,1
12895.0,25969860.0,2,372.79999999999995,3,2,2
12897.0,11967180.0,2,216.5,1,2,1
12901.0,28894020.0,28,17654.539999999997,5,5,5
12902.0,6782760.0,1,138.68,1,1,1
12904.0,28046040.0,2,509.57999999999976,4,2,3
12906.0,28634100.0,5,2919.809999999999,5,4,5
12908.0,14398740.0,2,750.0,1,2,3
12909.0,26224980.0,5,2178.67,3,4,5
12910.0,27613680.0,8,3075.0400000000013,4,5,5
12912.0,29408100.0,5,1662.3,5,4,4
12913.0,29247060.0,4,2066.0099999999998,5,4,5
12915.0,16803240.0,1,164.0,2,1,1
12916.0,17663700.0,4,3006.1500000000005,2,4,5
12917.0,18549720.0,1,594.0,2,1,3
12919.0,28907220.0,6,1335.1899999999998,5,5,4
12920.0,28134300.0,1,164.23000000000002,4,1,1
12921.0,28830120.0,35,15899.290000000006,5,5,5
12922.0,15694500.0,1,405.38,2,1,2
12923.0,24078000.0,1,176.97,3,1,1
12924.0,21995700.0,4,933.7000000000003,2,4,4
12925.0,29243460.0,2,694.0499999999998,5,2,3
12928.0,26576640.0,4,1670.3599999999997,3,4,4
12929.0,2722080.0,1,117.85000000000001,1,1,1
12930.0,22864680.0,2,415.8,2,2,2
12931.0,27779940.0,13,41878.95999999999,4,5,5
12933.0,27535080.0,3,607.5299999999999,4,3,3
12935.0,29438700.0,7,2160.6999999999994,5,5,5
12936.0,28143120.0,4,1063.9000000000005,4,4,4
12937.0,28307100.0,4,1504.2700000000004,4,4,4
12938.0,27429660.0,1,114.14,4,1,1
12939.0,24071580.0,8,11581.8,3,5,5
12940.0,24926940.0,2,913.5400000000001,3,2,4
12942.0,18283140.0,2,425.14999999999975,2,2,2
12944.0,26564640.0,1,317.56,3,1,2
12945.0,4716900.0,1,462.95000000000005,1,1,3
12947.0,17229960.0,5,1299.9500000000005,2,4,4
12948.0,28228200.0,7,2064.95,4,5,5
12949.0,26997900.0,8,4167.220000000001,4,5,5
12950.0,29423820.0,3,1843.0,5,3,4
12951.0,28901640.0,6,1064.0700000000004,5,5,4
12952.0,29154900.0,4,1387.7900000000004,5,4,4
12953.0,28805040.0,1,329.84999999999997,5,1,2
12955.0,29521740.0,11,4757.159999999999,5,5,5
12956.0,3168480.0,1,108.07,1,1,1
12957.0,28806780.0,8,4017.5400000000027,5,5,5
12962.0,29001300.0,2,266.39000000000004,5,2,2
12963.0,28904100.0,7,1490.8299999999997,5,5,4
12965.0,21915060.0,1,771.9099999999996,2,1,3
12966.0,28816680.0,1,160.18,5,1,1
12968.0,19928640.0,1,135.95,2,1,1
12970.0,28996200.0,4,452.23999999999995,5,4,2
12971.0,29334000.0,81,10753.719999999998,5,5,5
12974.0,12562380.0,1,144.8,1,1,1
12976.0,11354100.0,1,738.6,1,1,3
12977.0,16130400.0,1,39.24,2,1,1
12980.0,16018440.0,8,6485.58,2,5,5
12981.0,27086400.0,2,372.21999999999997,4,2,2
12982.0,8682660.0,1,390.53999999999996,1,1,2
12984.0,28039020.0,1,97.5,4,1,1
12985.0,29587560.0,2,1239.38,5,2,4
12987.0,23284980.0,2,558.7,2,2,3
12988.0,4372260.0,1,535.32,1,1,3
12989.0,29345280.0,14,6721.609999999996,5,5,5
12990.0,26917260.0,3,409.50000000000006,3,3,2
12991.0,27617640.0,2,503.76,4,2,3
12993.0,27618540.0,4,414.75999999999993,4,4,2
12994.0,29259780.0,3,974.42,5,3,4
12995.0,22261440.0,1,211.32,2,1,1
12997.0,27704820.0,4,1226.89,4,4,4
12999.0,12662640.0,3,455.8799999999999,1,3,3
13000.0,20428980.0,2,333.09999999999997,2,2,2
13001.0,29256660.0,13,9818.820000000012,5,5,5
13002.0,2128680.0,1,120.94999999999999,1,1,1
13003.0,20515800.0,3,149.05,2,3,1
